"Ccode","Dcode","charternum","Scode","cds_code","County","District","school"
"00","00000","0000","0000000","00000000000000","Statewide","Statewide",
"01","00000","0000","0000000","01000000000000","Alameda","Alameda County",
"01","10017","0000","0000000","01100170000000","Alameda","Alameda County Office of Educa","                                   "
"01","10017","0728","0000000","01100170000000","Alameda","FAME Public Charter           ",
"01","10017","0728","0109835","01100170109835","Alameda","FAME Public Charter           ","FAME Public Charter                "
"01","10017","0811","0000000","01100170000000","Alameda","Envision Academy for Arts     ",
"01","10017","0811","0112607","01100170112607","Alameda","Envision Academy for Arts     ","Envision Academy for Arts          "
"01","10017","1049","0000000","01100170000000","Alameda","Aspire California College Prep",
"01","10017","1049","0118489","01100170118489","Alameda","Aspire California College Prep","Aspire California College Prep     "
"01","31609","0000","0000000","01316090000000","Alameda","California School for the Blin","                                   "
"01","31609","0000","0131755","01316090131755","Alameda","California School for the Blin","Calif Schl.for the Blind           "
"01","31617","0000","0000000","01316170000000","Alameda","California School for the Deaf","                                   "
"01","31617","0000","0131763","01316170131763","Alameda","California School for the Deaf","Cali. Sch. for Deaf - Fremont      "
"01","61119","0000","0000000","01611190000000","Alameda","Alameda City Unified          ","                                   "
"01","61119","0000","0106401","01611190106401","Alameda","Alameda City Unified          ","Alameda Science & Technology       "
"01","61119","0000","0111765","01611190111765","Alameda","Alameda City Unified          ","Ruby Bridges Elementary            "
"01","61119","0000","0130229","01611190130229","Alameda","Alameda City Unified          ","Alameda High                       "
"01","61119","0000","0132878","01611190132878","Alameda","Alameda City Unified          ","Encinal High                       "
"01","61119","0000","6000004","01611196000004","Alameda","Alameda City Unified          ","Chipman Middle                     "
"01","61119","0000","6090005","01611196090005","Alameda","Alameda City Unified          ","Lum (Donald D.) Elementary         "
"01","61119","0000","6090013","01611196090013","Alameda","Alameda City Unified          ","Edison Elementary                  "
"01","61119","0000","6090021","01611196090021","Alameda","Alameda City Unified          ","Otis (Frank) Elementary            "
"01","61119","0000","6090039","01611196090039","Alameda","Alameda City Unified          ","Franklin Elementary                "
"01","61119","0000","6090047","01611196090047","Alameda","Alameda City Unified          ","Haight Elementary                  "
"01","61119","0000","6090054","01611196090054","Alameda","Alameda City Unified          ","Lincoln Middle                     "
"01","61119","0000","6090104","01611196090104","Alameda","Alameda City Unified          ","Washington Elementary              "
"01","61119","0000","6090112","01611196090112","Alameda","Alameda City Unified          ","Wood (Will C.) Middle              "
"01","61119","0000","6090120","01611196090120","Alameda","Alameda City Unified          ","Paden (William G.) Elem.           "
"01","61119","0000","6100374","01611196100374","Alameda","Alameda City Unified          ","Earhart (Amelia) Elem.             "
"01","61119","0000","6110779","01611196110779","Alameda","Alameda City Unified          ","Bay Farm Elementary                "
"01","61119","0352","0000000","01611190000000","Alameda","Alameda Comm Learning         ",
"01","61119","0352","0130609","01611190130609","Alameda","Alameda City Unified          ","Alameda Comm Learning              "
"01","61119","0398","0000000","01611190000000","Alameda","Bay Area School               ",
"01","61127","0000","0000000","01611270000000","Alameda","Albany City Unified           ","                                   "
"01","61127","0000","0130450","01611270130450","Alameda","Albany City Unified           ","Albany High                        "
"01","61127","0000","6090146","01611276090146","Alameda","Albany City Unified           ","Cornell Elementary                 "
"01","61127","0000","6090161","01611276090161","Alameda","Albany City Unified           ","Albany Middle                      "
"01","61127","0000","6095376","01611276095376","Alameda","Albany City Unified           ","Marin Elementary                   "
"01","61127","0000","6116222","01611276116222","Alameda","Albany City Unified           ","Ocean View Elementary              "
"01","61143","0000","0000000","01611430000000","Alameda","Berkeley Unified              ","                                   "
"01","61143","0000","0131177","01611430131177","Alameda","Berkeley Unified              ","Berkeley High                      "
"01","61143","0000","6056857","01611436056857","Alameda","Berkeley Unified              ","King Middle                        "
"01","61143","0000","6056865","01611436056865","Alameda","Berkeley Unified              ","Willard Middle                     "
"01","61143","0000","6090187","01611436090187","Alameda","Berkeley Unified              ","Parks Magnet                       "
"01","61143","0000","6090195","01611436090195","Alameda","Berkeley Unified              ","Cragmont Elementary                "
"01","61143","0000","6090211","01611436090211","Alameda","Berkeley Unified              ","Emerson Elementary                 "
"01","61143","0000","6090252","01611436090252","Alameda","Berkeley Unified              ","Jefferson Elementary               "
"01","61143","0000","6090278","01611436090278","Alameda","Berkeley Unified              ","Leconte Elementary                 "
"01","61143","0000","6090286","01611436090286","Alameda","Berkeley Unified              ","Malcolm X Elementary               "
"01","61143","0000","6090294","01611436090294","Alameda","Berkeley Unified              ","Longfellow Arts & Tech             "
"01","61143","0000","6090302","01611436090302","Alameda","Berkeley Unified              ","Oxford Elementary                  "
"01","61143","0000","6090310","01611436090310","Alameda","Berkeley Unified              ","Thousand Oaks Elementary           "
"01","61143","0000","6090328","01611436090328","Alameda","Berkeley Unified              ","Washington Elementary              "
"01","61143","0000","6097729","01611436097729","Alameda","Berkeley Unified              ","Whittier/Arts                      "
"01","61143","0000","6105316","01611436105316","Alameda","Berkeley Unified              ","Muir (John) Elementary             "
"01","61150","0000","0000000","01611500000000","Alameda","Castro Valley Unified         ","                                   "
"01","61150","0000","0000001","01611500000001","Alameda","Castro Valley Unified         ","Castro Valley Unified NPS Students "
"01","61150","0000","0102194","01611500102194","Alameda","Castro Valley Unified         ","Redwood Alternative  High          "
"01","61150","0000","0132225","01611500132225","Alameda","Castro Valley Unified         ","Castro Valley High                 "
"01","61150","0000","6090351","01611506090351","Alameda","Castro Valley Unified         ","Castro Valley Elementary           "
"01","61150","0000","6090369","01611506090369","Alameda","Castro Valley Unified         ","Chabot Elementary                  "
"01","61150","0000","6090385","01611506090385","Alameda","Castro Valley Unified         ","Creekside Middle                   "
"01","61150","0000","6090393","01611506090393","Alameda","Castro Valley Unified         ","Independent Elementary             "
"01","61150","0000","6090401","01611506090401","Alameda","Castro Valley Unified         ","Marshall Elementary                "
"01","61150","0000","6090419","01611506090419","Alameda","Castro Valley Unified         ","Palomares Elementary               "
"01","61150","0000","6090435","01611506090435","Alameda","Castro Valley Unified         ","Proctor Elementary                 "
"01","61150","0000","6090468","01611506090468","Alameda","Castro Valley Unified         ","Stanton Elementary                 "
"01","61150","0000","6090484","01611506090484","Alameda","Castro Valley Unified         ","Vannoy Elementary                  "
"01","61150","0000","6097653","01611506097653","Alameda","Castro Valley Unified         ","Canyon Middle                      "
"01","61150","0000","6113005","01611506113005","Alameda","Castro Valley Unified         ","Jensen Ranch                       "
"01","61168","0000","0000000","01611680000000","Alameda","Emery Unified                 ","                                   "
"01","61168","0000","0132746","01611680132746","Alameda","Emery Unified                 ","Emery Secondary                    "
"01","61168","0000","6090492","01611686090492","Alameda","Emery Unified                 ","Anna Yates Elementary              "
"01","61176","0000","0000000","01611760000000","Alameda","Fremont Unified               ","                                   "
"01","61176","0000","0130062","01611760130062","Alameda","Fremont Unified               ","American High                      "
"01","61176","0000","0130534","01611760130534","Alameda","Fremont Unified               ","Circle of Independent Learning     "
"01","61176","0000","0134270","01611760134270","Alameda","Fremont Unified               ","Irvington High                     "
"01","61176","0000","0134452","01611760134452","Alameda","Fremont Unified               ","Kennedy (John F.) High             "
"01","61176","0000","0135244","01611760135244","Alameda","Fremont Unified               ","Mission San Jose High              "
"01","61176","0000","0138693","01611760138693","Alameda","Fremont Unified               ","Washington High                    "
"01","61176","0000","6000541","01611766000541","Alameda","Fremont Unified               ","Blacow (John) Elementary           "
"01","61176","0000","6000558","01611766000558","Alameda","Fremont Unified               ","Brier Elementary                   "
"01","61176","0000","6000566","01611766000566","Alameda","Fremont Unified               ","Cabrillo Elementary                "
"01","61176","0000","6000590","01611766000590","Alameda","Fremont Unified               ","Grimmer (E. M.) Elementary         "
"01","61176","0000","6000624","01611766000624","Alameda","Fremont Unified               ","Glenmoor Elementary                "
"01","61176","0000","6000640","01611766000640","Alameda","Fremont Unified               ","Green (Harvey) Elementary          "
"01","61176","0000","6000665","01611766000665","Alameda","Fremont Unified               ","Durham (J. Haley) Elementary       "
"01","61176","0000","6000681","01611766000681","Alameda","Fremont Unified               ","Azevada (Joseph) Elem.             "
"01","61176","0000","6000715","01611766000715","Alameda","Fremont Unified               ","Maloney (Tom) Elementary           "
"01","61176","0000","6000723","01611766000723","Alameda","Fremont Unified               ","Mattos (John G.) Elementary        "
"01","61176","0000","6000749","01611766000749","Alameda","Fremont Unified               ","Mission Valley Elementary          "
"01","61176","0000","6000756","01611766000756","Alameda","Fremont Unified               ","Niles Elementary                   "
"01","61176","0000","6000764","01611766000764","Alameda","Fremont Unified               ","Hirsch (O. N.) Elementary          "
