"","DIST","SCHL","Gr07_Stu","Gr7PctIn","Gr7PctNotIn","Year"
"1",64733,100297,50," 52.0"," 48.0",2006
"2",64733,100776,21," 66.7"," 33.3",2006
"3",64733,100867,55," 63.6"," 36.4",2006
"4",64733,101311,3,"*","*",2006
"5",64733,101329,2,"*","*",2006
"6",64733,101634,68," 63.2"," 36.8",2006
"7",64733,102137,3,"*","*",2006
"8",64733,102335,17," 76.5"," 23.5",2006
"9",64733,106971,665," 58.5"," 41.5",2006
"10",64733,106989,440," 55.0"," 45.0",2006
"11",64733,107011,107," 47.7"," 52.3",2006
"12",64733,109884,46," 67.4"," 32.6",2006
"13",64733,1931054,94," 55.3"," 44.7",2006
"14",64733,1931070,62," 71.0"," 29.0",2006
"15",64733,1931633,2,"*","*",2006
"16",64733,1931658,17," 58.8"," 41.2",2006
"17",64733,1931716,59," 54.2"," 45.8",2006
"18",64733,1932391,1,"*","*",2006
"19",64733,1932540,221," 69.2"," 30.8",2006
"20",64733,1932847,235," 76.6"," 23.4",2006
"21",64733,1932896,66," 60.6"," 39.4",2006
"22",64733,1933233,209," 75.1"," 24.9",2006
"23",64733,1939784,11," 63.6"," 36.4",2006
"24",64733,1996073,10,"*","*",2006
"25",64733,1996115,73," 58.9"," 41.1",2006
"26",64733,1996610,67," 46.3"," 53.7",2006
"27",64733,1996636,41," 61.0"," 39.0",2006
"28",64733,1996651,2,"*","*",2006
"29",64733,6016349,94," 53.2"," 46.8",2006
"30",64733,6016885,452," 62.4"," 37.6",2006
"31",64733,6017487,108," 51.9"," 48.1",2006
"32",64733,6018865,17," 64.7"," 35.3",2006
"33",64733,6019475,122," 66.4"," 33.6",2006
"34",64733,6019715,124," 59.7"," 40.3",2006
"35",64733,6057855,683," 59.3"," 40.7",2006
"36",64733,6057871,502," 62.7"," 37.3",2006
"37",64733,6057889,829," 56.8"," 43.2",2006
"38",64733,6057897,612," 61.8"," 38.2",2006
"39",64733,6057905,580," 57.1"," 42.9",2006
"40",64733,6057913,545," 56.9"," 43.1",2006
"41",64733,6057921,873," 52.8"," 47.2",2006
"42",64733,6057939,1104," 61.3"," 38.7",2006
"43",64733,6057947,426," 61.0"," 39.0",2006
"44",64733,6057954,572," 59.4"," 40.6",2006
"45",64733,6057962,717," 51.9"," 48.1",2006
"46",64733,6057988,452," 63.9"," 36.1",2006
"47",64733,6057996,594," 70.5"," 29.5",2006
"48",64733,6058002,424," 62.3"," 37.7",2006
"49",64733,6058028,637," 58.6"," 41.4",2006
"50",64733,6058036,664," 53.5"," 46.5",2006
"51",64733,6058044,553," 62.0"," 38.0",2006
"52",64733,6058051,836," 46.4"," 53.6",2006
"53",64733,6058069,477," 64.2"," 35.8",2006
"54",64733,6058077,530," 60.2"," 39.8",2006
"55",64733,6058085,948," 66.4"," 33.6",2006
"56",64733,6058093,662," 69.9"," 30.1",2006
"57",64733,6058101,370," 53.0"," 47.0",2006
"58",64733,6058119,448," 55.8"," 44.2",2006
"59",64733,6058127,326," 56.7"," 43.3",2006
"60",64733,6058135,375," 60.3"," 39.7",2006
"61",64733,6058143,778," 49.4"," 50.6",2006
"62",64733,6058150,659," 79.4"," 20.6",2006
"63",64733,6058168,554," 69.0"," 31.0",2006
"64",64733,6058176,726," 59.8"," 40.2",2006
"65",64733,6058184,583," 62.8"," 37.2",2006
"66",64733,6058192,637," 62.5"," 37.5",2006
"67",64733,6058200,392," 59.9"," 40.1",2006
"68",64733,6058218,710," 60.7"," 39.3",2006
"69",64733,6058226,620," 75.0"," 25.0",2006
"70",64733,6058242,561," 64.2"," 35.8",2006
"71",64733,6058267,639," 77.5"," 22.5",2006
"72",64733,6058275,545," 69.5"," 30.5",2006
"73",64733,6058283,633," 58.1"," 41.9",2006
"74",64733,6058291,662," 59.5"," 40.5",2006
"75",64733,6058309,994," 60.0"," 40.0",2006
"76",64733,6058317,875," 50.1"," 49.9",2006
"77",64733,6058325,492," 62.0"," 38.0",2006
"78",64733,6058333,467," 61.0"," 39.0",2006
"79",64733,6058341,883," 55.0"," 45.0",2006
"80",64733,6058358,428," 30.4"," 69.6",2006
"81",64733,6058366,645," 66.7"," 33.3",2006
"82",64733,6058374,666," 57.1"," 42.9",2006
"83",64733,6058382,369," 62.6"," 37.4",2006
"84",64733,6060495,9,"*","*",2006
"85",64733,6060503,10,"*","*",2006
"86",64733,6060511,6,"*","*",2006
"87",64733,6060529,46," 54.3"," 45.7",2006
"88",64733,6060545,1,"*","*",2006
"89",64733,6061394,516," 61.0"," 39.0",2006
"90",64733,6061402,1065," 58.1"," 41.9",2006
"91",64733,6061410,700," 64.3"," 35.7",2006
"92",64733,6061428,509," 60.5"," 39.5",2006
"93",64733,6061436,619," 67.9"," 32.1",2006
"94",64733,6061444,746," 50.0"," 50.0",2006
"95",64733,6061451,648," 50.3"," 49.7",2006
"96",64733,6061469,1166," 48.5"," 51.5",2006
"97",64733,6061477,716," 78.5"," 21.5",2006
"98",64733,6061485,494," 64.8"," 35.2",2006
"99",64733,6061501,683," 60.6"," 39.4",2006
"100",64733,6061519,768," 61.5"," 38.5",2006
"101",64733,6061527,504," 61.3"," 38.7",2006
"102",64733,6061535,460," 52.0"," 48.0",2006
"103",64733,6061543,768," 76.8"," 23.2",2006
"104",64733,6061550,582," 65.5"," 34.5",2006
"105",64733,6061568,338," 67.5"," 32.5",2006
"106",64733,6061576,770," 59.5"," 40.5",2006
"107",64733,6061584,672," 68.0"," 32.0",2006
"108",64733,6061600,847," 51.2"," 48.8",2006
"109",64733,6062699,618," 68.8"," 31.2",2006
"110",64733,6066294,430," 55.6"," 44.4",2006
"111",64733,6068431,762," 50.5"," 49.5",2006
"112",64733,6069157,19," 63.2"," 36.8",2006
"113",64733,6107064,362," 58.0"," 42.0",2006
"114",64733,6112536,91," 41.8"," 58.2",2006
"115",64733,6115794,889," 58.3"," 41.7",2006
"116",64733,6118186,247," 51.8"," 48.2",2006
"117",64733,6119895,12," 83.3"," 16.7",2006
"118",64733,6117048,80,"  0.0","100.0",2006
"119",64733,6116750,47," 53.2"," 46.8",2006
"120",64733,6117667,111," 69.4"," 30.6",2006
"121",64733,6118194,92," 57.6"," 42.4",2006
"122",64733,6119945,95," 56.8"," 43.2",2006
