"","X.1","X","DIST","SCHL","Gr07_Stu","Gr7PctIn","Gr7PctNotIn","Year","schoolname","nstores","localdistrict","ffprox"
"1",1,1,64733,100297,50," 52.0"," 48.0",2006,"Cornerstone Prep              ",NA,NA,NA
"2",2,2,64733,100776,21," 66.7"," 33.3",2006,"North Valley Charter          ",NA,NA,NA
"3",3,3,64733,100867,55," 63.6"," 36.4",2006,"KIPP LA College Preparatory   ",NA,NA,NA
"4",4,4,64733,101311,3,"*","*",2006,"Jessie Owens Community Day    ",NA,NA,NA
"5",5,5,64733,101329,2,"*","*",2006,"Cooper Community Day          ",NA,NA,NA
"6",6,6,64733,101634,68," 63.2"," 36.8",2006,"CHIME Middle Charter          ",5,0,NA
"7",7,7,64733,102137,3,"*","*",2006,"Aggeler Community Day         ",NA,NA,NA
"8",8,8,64733,102335,17," 76.5"," 23.5",2006,"Ocean Charter School          ",NA,NA,NA
"9",9,9,64733,106971,665," 58.5"," 41.5",2006,"Vista Middle                  ",6,6,1
"10",10,10,64733,106989,440," 55.0"," 45.0",2006,"Southeast Middle              ",6,5,0
"11",11,11,64733,107011,107," 47.7"," 52.3",2006,"International Studies Learning",NA,NA,NA
"12",12,12,64733,109884,46," 67.4"," 32.6",2006,"James Jordan Middle           ",2,3,0
"13",13,13,64733,1931054,94," 55.3"," 44.7",2006,"Westside Leadership Magnet    ",NA,NA,NA
"14",14,14,64733,1931070,62," 71.0"," 29.0",2006,"Mid City Magnet               ",NA,NA,NA
"15",15,15,64733,1931633,2,"*","*",2006,"Leichman (Diane S.) Spe. Ed.  ",NA,NA,NA
"16",16,16,64733,1931658,17," 58.8"," 41.2",2006,"Lanterman (Frank D.)          ",NA,NA,NA
"17",17,17,64733,1931716,59," 54.2"," 45.8",2006,"Valley Alternative Magnet     ",NA,NA,NA
"18",18,18,64733,1932391,1,"*","*",2006,"West Hollywood Oppor.         ",NA,NA,NA
"19",19,19,64733,1932540,221," 69.2"," 30.8",2006,"Eagle Rock High               ",NA,NA,NA
"20",20,20,64733,1932847,235," 76.6"," 23.4",2006,"Center for Enriched Studies   ",NA,NA,NA
"21",21,21,64733,1932896,66," 60.6"," 39.4",2006,"Arroyo Seco                   ",NA,NA,NA
"22",22,22,64733,1933233,209," 75.1"," 24.9",2006,"Sherman Oaks Ctr.             ",NA,NA,NA
"23",23,23,64733,1939784,11," 63.6"," 36.4",2006,"Widney (Joseph Pomeroy) High  ",NA,NA,NA
"24",24,24,64733,1996073,10,"*","*",2006,"Tri-C Community Day           ",NA,NA,NA
"25",25,25,64733,1996115,73," 58.9"," 41.1",2006,"City of Angels (Ind. Study)   ",NA,NA,NA
"26",26,26,64733,1996610,67," 46.3"," 53.7",2006,"Los Angeles Leadership        ",NA,NA,NA
"27",27,27,64733,1996636,41," 61.0"," 39.0",2006,"Community Harvest Charter     ",NA,NA,NA
"28",28,28,64733,1996651,2,"*","*",2006,"CDS Secondary                 ",NA,NA,NA
"29",29,29,64733,6016349,94," 53.2"," 46.8",2006,"Caroldale Learning Community  ",NA,NA,NA
